AllPrograms
Program,Category,University,Grade Range,Co-op Available,Prerequisites
Biomedical Science (BSc) ,Health Sciences,York University,Low to mid-80s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U.) SBI4U SCH4U MHF4U 2 additional 4U/M courses (SPH4U recommended)
Concurrent Education: Health (BEd) ,Health Sciences,York University,High 70s to Mid-80s,Class-based experiential education,In this concurrent program graduates receive a Bachelor of Education as well as a Bachelor's degree in their chosen subject of major interest. Students must apply by selecting both the York Faculty that they are applying to and the BEd program. Full program details and instructions on how to apply are available on the Faculty of Education website. Submit your application for admission to the OUAC by January 15 2024. If you are interested in pursuing a French BEd with Glendon please see OUAC code YGJ. If you are interested in pursing an English BEd with Glendon please see OUAC code YYI. Admission to this program is a 2-part process: You are first considered for admission to the Faculty of Health. Applicants who submit all required documents by the specified deadline dates and receive an offer of admission to their faculty of choice by mid-April will advance to the Education Admissions Committee review. The Faculty of Education issues final admission decisions in May.
Health Studies (BHS) ,Health Sciences,York University,Mid- to high 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U Five additional 4U or 4M courses 4U math recommended
Neuroscience (BSc)  -  Faculty of Health ,Health Sciences,York University,Low to mid-80s,Class-based experiential education,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U SBI4U SCH4U Two additional 4U or 4M courses
Neuroscience (BSc)  -  Faculty of Science ,Health Sciences,York University,Low to Mid-80s,Not Available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) SBI4U SCH4U MHF4U 2 additional 4U/M courses
Nursing (Direct Entry) - BScN ,Health Sciences,York University,Mid- to High 80s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U 4U Math SBI4U SCH4U or SPH4U Two additional 4U or 4M courses No prerequisite below 70%
Nursing - Internationally Educated Nurses ,Health Sciences,York University,Mid- to High 80s,Practicum or internship option available,This program is designed for internationally educated nurses who are not currently registered in Ontario. To be eligible for admission to the program you must: be a licensed Registered Nurse in your home jurisdiction; be a domestic applicant (permanent resident Canadian citizen or convention refugee); be a resident of Ontario; have been evaluated for an RN by the College of Nurses of Ontario (CNO) as possessing an education at least equivalent to a diploma level; and submit all supporting documentation and language proficiency test results (if required) to York's Office of Admissions
Nursing (Second-Degree Entry) ,Health Sciences,York University,Mid- to High 80s,Practicum or internship option available,This program is only open to students with at least 2 years of university level studies. High school applicants are not eligible for this program. Please consider our Direct Entry Nursing program. View Program Requirements
Undecided Major (BSc First Year Only) ,Health Sciences,York University,Low to mid-80s,Not Available,Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) MHF4U SCH4U or SPH4U or SBI4U 3 additional 4U/M courses If you apply to the Undecided major and are considering a specific program ensure you have the appropriate prerequisites for that program. Refer to the specific program entry for requirements.
Computer Science and Mathematics Co-op Only ,Mathematics,Brock University,Mid-70s,Co-op program,ENG4U MHF4U (min. 75%) MCV4U (min. 75%) Strongly recommended subject: ICS4U
Mathematics and Statistics ,Mathematics,Brock University,Mid-70s,Co-op option available with this program,Mathematics and Statistics: MHF4U (min. 75%) MCV4U (min. 75%) Strongly recommended subject: ENG4U Accelerated Mathematics Studies Stream: MHF4U (min. 90%) MCV4U (min. 90%)
Economics ,Mathematics,Carleton University,75 - 77%,Co-op option available with this program,English (ENG4U) Advanced Functions (MHF4U) 4 best 4U/M courses Calculus (MCV4U) strongly recommended. Students without Advanced Functions (MHF4U) may be admitted conditionally and must complete MATH 0005 in the first term of study.
Mathematics  -  General (3 years),Mathematics,Carleton University,78-82%,Not Available,Advanced Functions (MHF4U) and Calculus (MCV4U) 4 best 4U/M courses
Mathematics  -  Honours (4 years) (regular and co-op),Mathematics,Carleton University,78 - 82%,Co-op option available with this program,Advanced Functions (MHF4U) and Calculus (MCV4U) 4 best 4U/M courses
Arts and Sciences ,Mathematics,University of Guelph,78 to 83%,Embedded community engagement/volunteerism/partnership,ENG4U MHF4U One 4U/M Arts or Social Sciences Two from SBI4U SCH4U SPH4U One additional 4U/M course Arts and Social Science courses include Languages and Literatures Performing Arts Social Studies Geography and History.
Bachelor of Mathematics (General) ,Mathematics,University of Guelph,78 to 84%,Not Available,English (ENG4U) Advanced Functions (MHF4U) Calculus and Vectors (MCV4U) 3 additional 4U or 4M courses
Bachelor of Mathematics (Honours) ,Mathematics,University of Guelph,78 to 84%,Not Available,English (ENG4U) Advanced Functions (MHF4U) Calculus and Vectors (MCV4U) 3 additional 4U or 4M courses
Bioinformatics (Thunder Bay) ,Mathematics,Lakehead University,70%,Not Available,ENG4U MHF4U SBI4U SCH4U
General (Arts or Science) (Thunder Bay Orillia & Online) ,Mathematics,Lakehead University,70%,Not Available,General Arts: ENG4U General Science: ENG4U 2 of MCV4U MDM4U MHF4U SBI4U SCH4U SES4U SPH4U
Mathematics (Thunder Bay) ,Mathematics,Lakehead University,70%,Not Available,Mathematics (Arts): ENG4U MHF4U 1 of MCV4U MDM4U Mathematics (Science): ENG4U MHF4U 1 of MCV4U MDM4U 1 of MCV4U MDM4U SBI4U SCH4U SPH4U Mathematics & Economics (Arts) (3-year): ENG4U MHF4U 1 of MCV4U MDM4U Mathematics & Physics (Science) (3-year): ENG4U MHF4U 1 of MCV4U MDM4U 1 of MCV4U MDM4U SBI4U SCH4U SPH4U
Science One (Thunder Bay and Orillia Campuses) ,Mathematics,Lakehead University,70%,Not Available,ENG4U MHF4U 1 of ICS4U MCV4U MDM4U SBI4U SCH4U SES4U SPH4U
Concurrent Education with Science  -  Junior/Intermediate ,Mathematics,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Advanced Functions (MHF 4U) 2 grade 12 U Science courses or 1 Science + 1 Math 2 other grade 12 U/M courses (Chemistry Physics and Calculus recommended) A minimum overall average of 75% in the 6 best grade 12 U/M courses Examples of other eligible Science courses include: SBI 4U SCH 4U SES 4U or SPH 4U. Examples of other eligible Math courses include: MCV 4U or MDM 4U.
Mathematics and Statistics I ,Mathematics,McMaster University,Mid- to high 80s,Co-op available by major,ENG4U MHF4U MCV4U
Bachelor of Arts ,Mathematics,Nipissing University,Min. 70%,Not Available,Computer Science or Mathematics majors: ENG4U/EAE4U MCV4U One 4U Math Economics major: ENG4U/EAE4U One 4U Math All other majors: ENG4U/EAE4U
Bachelor of Arts/Bachelor of Commerce ,Mathematics,Nipissing University,Min. 70%,Not Available,Computer Science and Mathematics majors: ENG4U/EAE4U MCV4U 1 other 4U Math Economics major: ENG4U/EAE4U 1 other 4U Math All other majors: ENG4U/EAE4U
Bachelor of Science ,Mathematics,Nipissing University,Min. 70%,Not Available,Biology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U or MHF4U Computer Science major: ENG4U/EAE4U MCV4U 1 other 4U math 1 of SBI4U SCH4U or SPH4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Bachelor of Science/Bachelor of Commerce ,Mathematics,Nipissing University,70% and above,Not Available,Biology major: ENG4U/EAE4U/NBE4U SBI4U SCH4U 1 of MCV4U or MHF4U Computer Science major: ENG4U/EAE4U/NBE4U MCV4U 1 other 4U Math 1 of SBI4U SCH4U or SPH4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U/NBE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U/NBE4U One 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U/NBE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U/NBE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Concurrent Bachelor of Arts/Bachelor of Education Intermediate/Senior ,Mathematics,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science and Mathematics majors: ENG4U/EAE4U MCV4U One 4U Math All other majors: ENG4U/EAE4U/NBE4U
Concurrent Bachelor of Arts/Bachelor of Education Junior/Intermediate ,Mathematics,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science and Mathematics majors: ENG4U/EAE4U MCV4U One 4U Math All other majors: ENG4U/EAE4U
Concurrent Bachelor of Arts/Bachelor of Education Primary/Junior ,Mathematics,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science and Mathematics majors: ENG4U/EAE4U MCV4U One 4U Math All other majors: ENG4U/EAE4U
Concurrent Bachelor of Science/Bachelor of Education Intermediate/Senior ,Mathematics,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science major: ENG4U/EAE4U MCV4U 1 other 4U Math 1 of SBI4U SCH4U or SPH4U Biology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U or MHF4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Concurrent Bachelor of Science/Bachelor of Education Junior/Intermediate ,Mathematics,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science major: ENG4U/EAE4U MCV4U 1 other 4U Math 1 of SBI4U SCH4U or SPH4U Biology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U or MHF4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Concurrent Bachelor of Science/Bachelor of Education Primary/Junior ,Mathematics,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science major: ENG4U/EAE4U MCV4U 1 other 4U Math 1 of SBI4U SCH4U or SPH4U Biology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U or MHF4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Integrated Mathematics and Computer Science ,Mathematics,Ontario Tech University,Mid-70s,Co-op option available with this program,Six 4U/M credits including ENG4U and MHF4U Two of ICS4U MCV4U or SPH4U A combined minimum 70% average in prerequisite computer science math and science courses We recommend you take all 3 of ICS4U MCV4U and SPH4U
Integrated Mathematics and Computer Science (Co-op) ,Mathematics,Ontario Tech University,Mid-70s,Co-op program,Six 4U/M credits including ENG4U and MHF4U Two of ICS4U MCV4U or SPH4U A combined minimum 70% average in prerequisite computer science math and science courses We recommend you take all 3 of ICS4U MCV4U and SPH4U
Math for Science & Industry ,Mathematics,Ontario Tech University,Low 70s,Co-op option available with this program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Math for Science & Industry (Co-op) ,Mathematics,Ontario Tech University,Low 80s,Co-op program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Computer Science and Mathematics (Joint Honours  -  4 years) (French Immersion Stream is available),Mathematics,University of Ottawa,Low to mid-90s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U A combined minimum average of 70% is required for all prerequisite courses in mathematics. This is a competitive program. As such there will not be 3 rounds of admissions for this program and offers will be done in February and May. Please note that the requirements listed are minimum requirements only and are subject to change. Meeting the minimum average does not guarantee admission.
Data Sciences (5-year double degree) (French Immersion Stream is available),Mathematics,University of Ottawa,Low to mid-90s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U A combined minimum average of 70% is required for all prerequisite courses in mathematics. This is a highly competitive program. As such there will not be 3 rounds of admissions for this program and offers will be done in February and May. Please note that the requirements listed are minimum requirements only and are subject to change. Meeting the minimum average does not guarantee admission.
Financial Mathematics and Economics (4 years) (French Immersion Stream is available),Mathematics,University of Ottawa,Low to Mid 80s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U A combined minimum average of 70% is required for all prerequisite courses in mathematics. If you are missing MCV4U you may take the equivalent course at the university the summer before or during your first semester. Visit the Faculty of Science website for recommended courses.
Mathematics (4 years) (French Immersion Stream is available),Mathematics,University of Ottawa,Mid 80s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U A combined minimum average of 70% is required for all prerequisite courses in science and mathematics. If you are missing MCV4U you may take the equivalent course at the university the summer before or during your first semester. Visit the Faculty of Science website for recommended courses.
Mathematics and Economics (Joint Honours - 4 years) (French Immersion Stream is available),Mathematics,University of Ottawa,Low 80s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U A combined minimum average of 70% is required for all prerequisite courses in mathematics. If you are missing MCV4U you may take the equivalent course at the university the summer before or during your first semester.
Mathematics and Economics (Joint Honours  -  4 years) (French Immersion Stream is available),Mathematics,University of Ottawa,Low 80s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U A combined minimum average of 70% is required for all prerequisite courses in mathematics. If you are missing MCV4U you may take the equivalent course at the university the summer before or during your first semester. Visit the Faculty of Science website for recommended courses.
Music and Mathematics (5-year double degree),Mathematics,University of Ottawa,Low 80s,Class-based experiential education,ENG4U or FRA4U MCV4U MHF4U
Music and Statistics (5-year double degree),Mathematics,University of Ottawa,Low 80s,Class-based experiential education,ENG4U or FRA4U MCV4U MHF4U
Physics and Mathematics (Joint Honours  -  4 years) (French Immersion Stream is available),Mathematics,University of Ottawa,Low 80s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U 2 of SBI4U SCH4U SPH4U SES4U A combined minimum average of 70% is required for all prerequisite courses in science and mathematics. If you are missing MCV4U you may take the equivalent course at the university the summer before or during your first semester. Visit the Faculty of Science website for recommended courses.
Statistics (4 years) (French Immersion Stream is available),Mathematics,University of Ottawa,Mid-80s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U A combined minimum average of 70% is required for all prerequisite courses in mathematics. If you are missing MCV4U you may take the equivalent course at the university the summer before or during your first semester. Visit the Faculty of Science website for recommended courses.
Computing ,Mathematics,Queen's University,High 80s,Co-op or internship option available,ENG4U MHF4U MCV4U 3 additional 4U/M courses
Concurrent Education/Science ,Mathematics,Queen's University,Mid 80s,Practicum or internship option available,ENG4U MCV4U MHF4U 2 of SBI4U SCH4U SPH4U 1 additional 4U/M course
Engineering and Applied Science ,Mathematics,Queen's University,High 80s,Co-op or internship option available,ENG4U MCV4U SPH4U SCH4U MHF4U
Science ,Mathematics,Queen's University,Low 80s,Co-op or internship option available,ENG4U MCV4U MHF4U 2 of SBI4U SCH4U SPH4U 1 additional 4U/M course
Science  -  Bader College Herstmonceux Castle (First-year Program in England) ,Mathematics,Queen's University,Low 80s,Class-based experiential education,ENG4U MHF4U MCV4U 2 of SBI4U SCH4U SPH4U 1 additional 4U/M course
Science Honours ,Mathematics,Royal Military College of Canada,75% average,Not Available,Six U/M credits including: ENG4U MHF4U Any 2 of the following: MCV4U SCH4U SPH4U or SBI4U Selection is based on academic performance and extracurricular activities that demonstrate leadership potential. If any of your marks are less than 80% you must demonstrate excellent leadership skills to be competitive. All applications are pre-screened for suitability at Canadian Forces Recruiting Centres before being sent forward for consideration. Comparisons with the OUAC application process are not practical.
Engineering Science ,Mathematics,University of Toronto,Low 90s,Co-op or internship option available,ENG4U MCV4U MHF4U SCH4U SPH4U Particular attention is paid to the required courses.
International Foundation Program  -  Arts and Science ,Mathematics,University of Toronto,Low 80s to low 90s depending on the selected program,Not Available,Computer Science: ENG4U MCV4U Particular attention is paid to Calculus Humanities and Social Sciences: ENG4U Life Sciences (including Psychology): ENG4U MCV4U Many programs also require or recommend 1 or more of SCH4U SBI4U SPH4U Particular attention is paid to Calculus Physical & Mathematical Science: ENG4U MCV4U Many programs also require or recommend 1 or more of SCH4U SBI4U SPH4U Particular attention is paid to Calculus Rotman Commerce: ENG4U MCV4U Particular attention is paid to Calculus
Physical and Mathematical Sciences ,Mathematics,University of Toronto,Mid-80s,Co-op available by major,ENG4U MCV4U Many programs also require or recommend 1 or more of SBI4U SCH4U or SPH4U
Computer Science Mathematics and Statistics ,Mathematics,University of Toronto  -  Mississauga,Mid-80s,Practicum or internship option available,ENG4U MHF4U MCV4U Most programs recommend MDM4U
Double Degree: Management & Finance (BBA) and Statistics  -  Quantitative Finance (BSc) (regular and co-op) ,Mathematics,University of Toronto  -  Scarborough,High 80s (regular and co-op),Co-op option available with this program,ENG4U MCV4U MHF4U
Mathematics (regular and co-op) ,Mathematics,University of Toronto  -  Scarborough,High 80s (regular) high 80s (co-op),Co-op option available with this program,ENG4U MCV4U MHF4U
Statistics (regular and co-op) ,Mathematics,University of Toronto  -  Scarborough,High 80s (regular) high 80s (co-op),Co-op option available with this program,ENG4U MCV4U MHF4U
Financial Mathematics (Honours) (Co-op Available) ,Mathematics,Toronto Metropolitan University (formerly Ryerson University),Mid 70s,Co-op available by application after first year of studies,English/Anglais (ENG4U/EAE4U preferred) Advanced Functions (MHF4U) One of Calculus and Vectors (MCV4U) or Mathematics of Data Management (MDM4U) One of Physics (SPH4U) (recommended) Biology (SBI4U) or Chemistry (SCH4U)
Mathematics and its Applications (Honours) (Co-op Available) ,Mathematics,Toronto Metropolitan University (formerly Ryerson University),Mid 70s,Co-op available by application after first year of studies,English (ENG4U/EAE4U preferred) Advanced Functions (MHF4U) One of Calculus and Vectors (MCV4U) or Mathematics of Data Management (MDM4U) One of Physics (SPH4U) (recommended) Biology (SBI4U) or Chemistry (SCH4U)
Mathematical Economics ,Mathematics,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U
Mathematical Physics ,Mathematics,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U
Mathematics ,Mathematics,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U
Mathematics  -  Mathematical Finance ,Mathematics,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U
Mathematics and Business ,Mathematics,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U
Statistics (Mathematics BSc) Specialization ,Mathematics,Trent University,70%,Practicum or internship option available,Six 4U/M courses ENG4U (with a minimum of 60%) Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U
Honours Science ,Mathematics,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Science and Business ,Mathematics,Trent University  -  Durham Greater Toronto Area,N/A,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U recommended
Business Administration (Laurier) and Mathematics (Waterloo) Double Degree (Co-op Only) ,Mathematics,University of Waterloo,Low 90s,Co-op program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Knowledge Integration ,Mathematics,University of Waterloo,Low 80s,Not Available,A final grade of at least 70% is required for: Any 4U English Any 4U Science Any 4U Mathematics Plus: 3 additional 4U/M courses
Mathematics/Business Administration (Regular/Co-op) ,Mathematics,University of Waterloo,High 80s,Co-op option available with this program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Mathematics/CPA (Co-op Only) ,Mathematics,University of Waterloo,High 80s,Co-op program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U BAT4M
Mathematics/Financial Analysis and Risk Management (Regular/Co-op) ,Mathematics,University of Waterloo,High 80s,Co-op option available with this program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Mathematics (Regular/Co-op) ,Mathematics,University of Waterloo,High 80s,Co-op option available with this program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Physical Sciences (Regular/Co-op) ,Mathematics,University of Waterloo,Low 80s,Co-op option available with this program,A final grade of at least 70% is required for: MHF4U MCV4U ENG4U Plus: Any 2 of SBI4U SCH4U SES4U MDM4U or SPH4U 1 additional 4U/M course Recommended: SCH4U SES4U SPH4U
Science ,Mathematics,Western University,Mid 80s,Co-op or internship application available at the university after registration,English ENG4U Calculus and Vectors MCV4U Two of : Advanced Functions MHF4U Biology SBI4U Math of Data Management MDM4U Chemistry SCH4U (not required for admission but required to take first-year Chemistry courses) Physics SPH4U Earth and Space Sciences SES4U Computer and Information Science ICS4U Note: First-year Biology and Chemistry courses require SBI4U and SCH4U respectively. First-year Biology and Chemistry courses are required for all modules offered by the Department of Biology and for some modules offered by the Department of Chemistry and other Science departments.
Biology and Mathematics (BSc) ,Mathematics,Wilfrid Laurier University,Mid-70s,Co-op or internship application available at the university after registration,English at 60% Chemistry at 60% Advanced Functions at 60% Biology at 70% Calculus and Vectors at 60% Prerequisite courses are calculated in the admission average.
Business Administration (BBA) + Financial Mathematics (BA) ,Mathematics,Wilfrid Laurier University,Low 90s,Co-op option available with this program,English at 70% Advanced Functions at 80% Calculus and Vectors at 80% Prerequisite courses are calculated in the admission average.
Business Administration (BBA) + Mathematics (BMath) University of Waterloo ,Mathematics,Wilfrid Laurier University,Low 90s,Co-op option available with this program,English at 80% Advanced Functions at 85% Calculus and Vectors at 85% Prerequisite courses are included in the admission average.
Chemistry and Mathematics (BSc) ,Mathematics,Wilfrid Laurier University,Mid-70s,Co-op or internship application available at the university after registration,English at 60% Advanced Functions at 60% Calculus and Vectors at 60% Chemistry at 70% Prerequisite courses are calculated in the admission average.
Data Science (BSc) ,Mathematics,Wilfrid Laurier University,Low-80s,Co-op or internship application available at the university after registration,English at 70% Advanced Functions at 80% Calculus and Vectors at 80% Prerequisite courses are calculated in the admission average.
Financial Mathematics (BA) ,Mathematics,Wilfrid Laurier University,Mid 70s,Co-op or internship application available at the university after registration,English at 60% Advanced Functions at 75% Calculus and Vectors at 75% Prerequisite courses are calculated in the admission average.
Financial Mathematics (BSc) ,Mathematics,Wilfrid Laurier University,Mid 70s,Co-op or internship application available at the university after registration,English at 60% Advanced Functions at 75% Calculus and Vectors at 75% One of Biology Chemistry or Physics at 60% Prerequisite courses are calculated in the admission average.
Mathematics (BA) ,Mathematics,Wilfrid Laurier University,Mid-70s,Co-op or internship application available at the university after registration,English at 60% Advanced Functions at 60% Calculus and Vectors at 60% Prerequisite courses are calculated in the admission average.
Mathematics; Computer Science and Mathematics (BSc) ,Mathematics,Wilfrid Laurier University,High 70s,Co-op or internship application available at the university after registration,English at 60% Advanced Functions at 60% Calculus and Vectors at 60% One of Biology Chemistry or Physics at 60% Prerequisite courses are calculated in the admission average.
Actuarial Science ,Mathematics,University of Windsor,70 - 87%,Not Available,ENG4U MHF4U MCV4U 70% average in all attempted Math courses excluding MDM4U
Business Administration ,Mathematics,University of Windsor,73 to 85%,Co-op option available with this program,Business Options: Business Administration ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U Math course (or equivalent) is normally required Business Administration (Co-op) ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U Math course (or equivalent) is normally required Business Administration and Psychology Business Administration and Psychology (with Specialization in Human Resources Management and Industrial-Organizational Psychology) ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U Math course (or equivalent) normally required Business and Economics ENG4U and MHF4U; MCV4U is strongly recommended A minimum of 70% in at least one 4U Math course (or equivalent) normally required Business and Computer Science Business and Computer Science (Co-op) ENG4U and MHF4U; MCV4U is strongly recommended A minimum grade of 70% in at least one 4U Math course (or equivalent) normally required Business Administration and Mathematics Business Administration and Mathematics (with Specialization in Finance) Business Administration and Mathematics (with Specialization in Supply Chain and Business Analytics) ENG4U and MHF4U and MCV4U A minimum of 70% is required in the 4U Math courses Business Administration and Political Science Business Administration and Political Science (with Specialization in Human Resources) ENG4U and one 4U Mathematics course A minimum grade of 70% in at least one 4U Math course (or equivalent) is also normally required
Communication Media and Film ,Mathematics,University of Windsor,70-85%,Co-op option available with this program,ENG4U If you are interested in a double major please choose a single major and contact admissions@uwindsor.ca to see if the new double major can be created for you. You will need to meet the admission requirements for both subjects of major interest.
Concurrent General BMath/BEd ,Mathematics,University of Windsor,80 - 91%,Practicum or internship option available,Admission is to first year only. ENG4U MHF4U MCV4U SPH4U is recommended
General Engineering ,Mathematics,University of Windsor,74-88%,Co-op option available with this program,ENG4U MHF4U SCH4U SPH4U MCV4U is strongly recommended
Mathematics & Statistics ,Mathematics,University of Windsor,70 - 88%,Not Available,Mathematics and Mathematics & Statistics ENG4U MHF4U MCV4U A minimum 70% average in all attempted Math courses is required Mathematics & Computer Science ENG4U MHF4U MCV4U A minimum 70% average in all attempted Math courses is required Mathematics with Finance Concentration ENG4U MHF4U MCV4U A minimum 75% average in all attempted Math courses is required Business Administration and Mathematics Business Administration and Mathematics (with Specialization in Finance) Business Administration and Mathematics (with Specialization in Supply Chain and Business Analytics) ENG4U MHF4U MCV4U A minimum of 70% is required in the 4U Math courses
Actuarial Science (BA) ,Mathematics,York University,Low 80s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) MHF4U 4 additional 4U/M courses (MCV4U recommended)
Applied Mathematics (BA) ,Mathematics,York University,Low to mid 80s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U Four additional 4U or 4M courses MCV4U recommended
